Source,Target,Lag,Strength,P_Value
goal1,goal1,1,0.46809439906751327,0.058098017400045436
goal7,goal3,2,0.7244875385108624,0.0022510632066591843
goal4,goal4,1,0.7394360445030456,0.002507902936661489
goal4,goal4,2,-0.5352766880379525,0.05941847789257067
goal10,goal4,3,0.4101937284466403,0.16388076065974225
goal8,goal8,1,0.6140230474938109,0.011396059336517883
goal4,goal10,1,-0.6090235089026634,0.015962373820210183
goal4,goal10,3,0.5504683113970811,0.05125003028172765
goal13,goal16,2,-0.5280966090477395,0.05224251409445182
goal16,goal16,1,0.7880507330009457,0.0008147332472082951
