Group,Impulse,Response,Step,Value
HIC,goal1,goal1,0,0.3055056248640482
HIC,goal1,goal1,1,-0.0322010558673772
HIC,goal1,goal1,2,-0.00022540382490284693
HIC,goal1,goal1,3,-0.0008138440451826634
HIC,goal1,goal1,4,-6.343230960633773e-05
HIC,goal1,goal1,5,-4.09386900681862e-05
HIC,goal1,goal1,6,-4.465625584283653e-06
HIC,goal1,goal1,7,-2.1803732327766557e-06
HIC,goal1,goal1,8,-2.7577118874150917e-07
HIC,goal1,goal1,9,-1.1779448810581261e-07
HIC,goal1,goal1,10,-1.6731634490683364e-08
HIC,goal3,goal1,0,0.0
HIC,goal3,goal1,1,0.026241431551595615
HIC,goal3,goal1,2,0.00416684352396688
HIC,goal3,goal1,3,0.0007421486500317364
HIC,goal3,goal1,4,0.0002867517458020249
HIC,goal3,goal1,5,4.7421601381054756e-05
HIC,goal3,goal1,6,1.551797604280243e-05
HIC,goal3,goal1,7,2.6721674100368724e-06
HIC,goal3,goal1,8,8.634043770049307e-07
HIC,goal3,goal1,9,1.562679608456531e-07
HIC,goal3,goal1,10,4.7772917011734064e-08
HIC,goal4,goal1,0,0.0
HIC,goal4,goal1,1,0.006714278261287623
HIC,goal4,goal1,2,-0.001532778802444838
HIC,goal4,goal1,3,0.0008501066874716393
HIC,goal4,goal1,4,-7.927359308127461e-06
HIC,goal4,goal1,5,3.641037505778802e-05
HIC,goal4,goal1,6,-8.793051621815998e-07
HIC,goal4,goal1,7,2.0590474127338195e-06
HIC,goal4,goal1,8,-6.099284341067062e-09
HIC,goal4,goal1,9,1.0733151894118915e-07
HIC,goal4,goal1,10,1.2596026984873705e-09
HIC,goal7,goal1,0,0.0
HIC,goal7,goal1,1,0.011651664361247881
HIC,goal7,goal1,2,-0.002919149139120496
HIC,goal7,goal1,3,0.000984097578866404
HIC,goal7,goal1,4,-0.00016884019625565836
HIC,goal7,goal1,5,4.947603537042105e-05
HIC,goal7,goal1,6,-8.402438318676904e-06
HIC,goal7,goal1,7,2.55509939517866e-06
HIC,goal7,goal1,8,-4.0583870120316354e-07
HIC,goal7,goal1,9,1.2701596771720132e-07
HIC,goal7,goal1,10,-1.899670438408165e-08
HIC,goal8,goal1,0,0.0
HIC,goal8,goal1,1,0.0002781993941899426
HIC,goal8,goal1,2,-0.002172790726858703
HIC,goal8,goal1,3,-0.0006111056637399287
HIC,goal8,goal1,4,-7.813997870949389e-05
HIC,goal8,goal1,5,-2.6663735161236424e-05
HIC,goal8,goal1,6,-5.11664381673028e-06
