Impulse,Response,Step,Value,Lower_CI,Upper_CI
goal1,goal1,0,2.512484226234814,2.512484226234814,2.512484226234814
goal1,goal1,1,-0.06191107226193463,-0.09328385610716608,-0.03053828841670319
goal1,goal1,2,0.002606609677017658,-0.000683082040439206,0.005896301394474522
goal1,goal1,3,5.4972823884871675e-06,-0.00039462993957010024,0.0004056245043470746
goal1,goal1,4,1.0705295233390225e-05,-4.07878221021697e-05,6.219841256895016e-05
goal1,goal1,5,-2.7641357617255967e-06,-9.403982611154139e-06,3.875711087702944e-06
goal1,goal1,6,5.760996291625026e-07,-3.2401970300205013e-07,1.4762189613270555e-06
goal1,goal1,7,-8.943776197156351e-08,-2.1479011037187103e-07,3.591458642874401e-08
goal1,goal1,8,1.2634743149720155e-08,-5.02473872004994e-09,3.029422501949025e-08
goal1,goal1,9,-1.6732544295332425e-09,-4.167665119839487e-09,8.211562607730023e-10
goal1,goal1,10,2.1668619247714024e-10,-1.3511107106430783e-10,5.684834560185883e-10
goal3,goal1,0,0.0,0.0,0.0
goal3,goal1,1,0.12483337846570061,0.046837870927339154,0.20282888600406207
goal3,goal1,2,-0.012043933797032122,-0.02441755338531633,0.0003296857912520861
goal3,goal1,3,0.0017127505086860428,-8.288872713877685e-05,0.0035083897445108625
goal3,goal1,4,-0.00019714329296179362,-0.0004640949678573149,6.98083819337276e-05
goal3,goal1,5,2.5253118888226124e-05,-1.3442836557526618e-05,6.394907433397887e-05
goal3,goal1,6,-3.1438313719483083e-06,-8.727301439714247e-06,2.4396386958176305e-06
goal3,goal1,7,4.0264674236063366e-07,-4.012854624919323e-07,1.2065789472131997e-06
goal3,goal1,8,-5.1398949186588795e-08,-1.668283890659747e-07,6.403049069279712e-08
goal3,goal1,9,6.598027816140246e-09,-9.907407295189984e-09,2.3103462927470475e-08
goal3,goal1,10,-8.460045514253666e-10,-3.1944322480619526e-09,1.5024231452112195e-09
goal4,goal1,0,0.0,0.0,0.0
goal4,goal1,1,0.038652265375629616,0.009814697500002093,0.06748983325125714
goal4,goal1,2,0.0035534176189729906,0.00035066134912488736,0.006756173888821094
goal4,goal1,3,-0.0007256699773089816,-0.0011323811984342493,-0.00031895875618371394
